"PVWatts Hourly PV Performance Data"
"Requested Location","fairhope, AL"
"Solar Resource Data Location","NSRDB Lat/Lng: 30.53, -87.90"
"Latitude (degrees)", 30.53
"Longitude (degrees)", -87.90
"Elevation (m)","25.533332824707"
"DC System Size (kW)","1034"
"Module Type","Thin Film"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","3","3.5","0.08","0","3","0","0"
"1","1","1","0","0","2","3.5","0.08","0","2","0","0"
"1","1","2","0","0","2","3.5","0.08","0","2","0","0"
"1","1","3","0","0","2","3.5","0.08","0","2","0","0"
"1","1","4","0","0","2","3.5","0.08","0","2","0","0"
"1","1","5","0","0","2","3.6","0.08","0","2","0","0"
"1","1","6","0","0","2","3.9","0.08","0","2","0","0"
"1","1","7","0","32","2","4.3","0.08","29.982","2.504","25082.52","20095.423"
"1","1","8","75","120","3","4.2","0.08","161.206","5.783","148932.615","139557.016"
"1","1","9","148","193","4","3.8","0.08","305.504","9.585","282794.516","268675.658"
"1","1","10","37","222","5","3.5","0.08","256.349","9.889","233112.409","220753.986"
"1","1","11","0","171","5","3.6","0.08","163.441","8.065","146731.403","137433.803"
"1","1","12","16","216","6","3.6","0.08","223.054","10.184","200971.781","189752.229"
"1","1","13","2","171","5","3.6","0.08","166.033","8.117","149831.203","140423.764"
"1","1","14","0","93","4","4","0.08","87.127","5.544","78291.399","71418.9"
"1","1","15","0","43","3","4.2","0.08","39.829","3.687","35160.165","29815.977"
"1","1","16","0","9","2","4.2","0.08","8.313","2.139","6111.943","1797.049"
"1","1","17","0","0","2","4.2","0.08","0","2","0","0"
"1","1","18","0","0","2","4.4","0.08","0","2","0","0"
"1","1","19","0","0","2","4.8","0.08","0","2","0","0"
"1","1","20","0","0","2","4.3","0.08","0","2","0","0"
"1","1","21","0","0","2","4.3","0.08","0","2","0","0"
"1","1","22","0","0","2","5.1","0.08","0","2","0","0"
"1","1","23","0","0","2","5.3","0.08","0","2","0","0"
"1","2","0","0","0","2","5.1","0.08","0","2","0","0"
"1","2","1","0","0","2","4.8","0.08","0","2","0","0"
"1","2","2","0","0","2","4.5","0.08","0","2","0","0"
