"Time stamp","Electricity to grid (year 1 hourly) | (kWh)"
"Jan 1, 12:00 am",0
"Jan 1, 01:00 am",0
"Jan 1, 02:00 am",0
"Jan 1, 03:00 am",0
"Jan 1, 04:00 am",0
"Jan 1, 05:00 am",0
"Jan 1, 06:00 am",0
"Jan 1, 07:00 am",51.102
"Jan 1, 08:00 am",10.8018
"Jan 1, 09:00 am",45.4569
"Jan 1, 10:00 am",209.446
"Jan 1, 11:00 am",156.671
"Jan 1, 12:00 pm",184.637
"Jan 1, 01:00 pm",243.021
"Jan 1, 02:00 pm",99.0156
"Jan 1, 03:00 pm",36.8207
"Jan 1, 04:00 pm",13.3969
"Jan 1, 05:00 pm",0
"Jan 1, 06:00 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 11:00 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 01:00 am",0
"Jan 2, 02:00 am",0
"Jan 2, 03:00 am",0
"Jan 2, 04:00 am",0
"Jan 2, 05:00 am",0
"Jan 2, 06:00 am",0
"Jan 2, 07:00 am",54.3519
"Jan 2, 08:00 am",37.7311
"Jan 2, 09:00 am",110.788
"Jan 2, 10:00 am",87.0582
"Jan 2, 11:00 am",133.913
"Jan 2, 12:00 pm",112.408
"Jan 2, 01:00 pm",83.2242
"Jan 2, 02:00 pm",76.5814
"Jan 2, 03:00 pm",29.3543
"Jan 2, 04:00 pm",11.0818
"Jan 2, 05:00 pm",0
"Jan 2, 06:00 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 11:00 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 01:00 am",0
"Jan 3, 02:00 am",0
"Jan 3, 03:00 am",0
"Jan 3, 04:00 am",0
"Jan 3, 05:00 am",0
"Jan 3, 06:00 am",0
"Jan 3, 07:00 am",91.7425
"Jan 3, 08:00 am",193.402
"Jan 3, 09:00 am",333.391
"Jan 3, 10:00 am",632.83
"Jan 3, 11:00 am",503.086
"Jan 3, 12:00 pm",492.348
"Jan 3, 01:00 pm",478.529
"Jan 3, 02:00 pm",331.083
"Jan 3, 03:00 pm",281.312
"Jan 3, 04:00 pm",64.6595
"Jan 3, 05:00 pm",0
"Jan 3, 06:00 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 11:00 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 01:00 am",0
"Jan 4, 02:00 am",0
"Jan 4, 03:00 am",0
"Jan 4, 04:00 am",0
"Jan 4, 05:00 am",0
"Jan 4, 06:00 am",0
"Jan 4, 07:00 am",53.41
"Jan 4, 08:00 am",191.117
"Jan 4, 09:00 am",521.607
"Jan 4, 10:00 am",447.561
"Jan 4, 11:00 am",688.165
"Jan 4, 12:00 pm",481.191
"Jan 4, 01:00 pm",446.478
"Jan 4, 02:00 pm",317.657
"Jan 4, 03:00 pm",298.033
"Jan 4, 04:00 pm",72.0892
"Jan 4, 05:00 pm",0
"Jan 4, 06:00 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 11:00 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 01:00 am",0
"Jan 5, 02:00 am",0
"Jan 5, 03:00 am",0
"Jan 5, 04:00 am",0
"Jan 5, 05:00 am",0
"Jan 5, 06:00 am",0
"Jan 5, 07:00 am",42.1992
"Jan 5, 08:00 am",294.468
"Jan 5, 09:00 am",471.952
"Jan 5, 10:00 am",582.511
