MARKET_DAY,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
1/1/25,23.43,30.52,19.51,20.65,21.07,21.29,22.26,23.86,24.56,21.69,21.96,20.71,19.62,20.58,20.18,20.66,21.82,29.55,29.05,29.5,29.25,31.23,28.07,27.43
1/2/25,23.79,24.23,24.41,23.88,24.28,24.35,29.04,43.86,40.51,29.94,28.1,33.52,27.55,24.4,23.56,23.09,26.78,137.25,35.04,39.55,33.54,28.53,26.52,23.72
1/3/25,24.86,23.72,23.7,25.92,25.44,26.52,29.31,31.62,36.24,75.88,25.48,25.64,24.63,23.45,22.64,22.76,23.24,26.24,31.72,32.26,29.57,28.52,26.97,25.58
1/4/25,22.89,24.04,23.85,23.71,24.01,24.75,25.38,28.32,26.98,26.41,27.45,26.77,26.39,24.69,25.96,27.09,28.79,28.16,34.55,32.95,32.82,30.15,27.4,25.56
1/5/25,26.72,25.88,24.39,23.68,23.36,23.52,22.7,23.83,24.01,24.79,25.4,25.97,26.12,27.38,26.59,25.7,26.54,26.95,29.78,29.57,29.91,25.99,25.93,23.18
1/6/25,22.62,23.03,22.2,22.1,22.72,22.61,23.49,24.79,26.19,27.65,30.92,30.13,29.7,27.76,26.35,25.75,25.91,28.24,34.63,34.31,32.26,30.94,30.2,30.55
1/7/25,29.54,30.01,30.42,31.35,31.95,32.5,34.04,44.02,41.31,37.95,40.13,42.92,31.04,30.58,30.4,29.79,29.87,38.87,39.19,43.32,42.23,38.15,33.79,32.32
1/8/25,35.79,36.72,36.16,35.54,34.69,34.34,39.56,56.74,47.69,33.32,33.52,28.46,27.23,26.39,25.82,25.46,25.88,30.48,35.62,42.1,38.95,43.52,35.33,29.96
1/9/25,29.29,31.94,28.09,31.93,29.82,42.45,64.62,49.43,41.68,31.44,28.4,31,29.09,28.59,30.19,33.47,34.66,37.97,43.49,38.5,35.68,33.67,31.94,28.83
1/10/25,28.48,27.44,27.15,27.38,26.11,26.06,29.19,34.84,33.69,35.13,34.11,32.38,32.3,32.73,31.82,30.5,29.82,33.35,40.75,40.83,39.76,36.67,34.09,33.13
1/11/25,31.29,28.7,30.56,30.36,29.11,31,28.67,29.32,29.69,29.59,27.75,26.2,25.56,24.42,24.41,24.14,24.14,26.46,30.37,33.62,31.71,29.38,29.42,28.08
1/12/25,28.3,27.53,26.96,26.58,27.06,28.03,27.17,30.02,29.86,28.92,31.06,28.26,25.97,24.95,24.6,24.67,26.32,32,39.19,34.08,33.27,30.61,29.06,26.66
1/13/25,25.87,25.55,25.37,25.19,24.98,25.13,26.36,29.38,64.48,26.82,26,26.11,25.5,24.05,23.12,22.11,23.08,28.41,28.77,33.1,39.92,36.58,31.49,37.35
1/14/25,26.23,26.77,26.35,27.99,29.2,31.76,47.05,69.03,40.89,34.51,35.65,32.12,26.62,25.59,26.12,25.68,26.95,39.24,73.56,47.12,55.42,54.38,38.95,35.06
1/15/25,32.71,35.97,37.94,37.58,38.17,44.46,57.31,216.57,49.11,35.44,31.94,29.34,26.9,24.32,24.09,24.49,28.19,32.56,34.73,33.79,31.33,29.8,28.89,27.86
1/16/25,24.9,26.36,26.3,23.06,26.37,26.87,30.41,47.64,36.63,36.01,31.87,29.03,26.52,24.91,23.77,20.53,24.16,28.89,34.57,34.41,42.7,33.14,32.78,28.21
1/17/25,28.8,36.76,32.63,37.53,30.27,32.65,41.03,291.16,102.24,27.06,28.27,26.37,28.92,28.24,28.92,30.11,37.65,35.66,124.28,146.85,55.6,42.06,75.69,35.88
1/18/25,33.78,30.11,30.02,32.12,30.91,34.53,29.17,27.75,32.03,33.55,29.08,27.76,22.41,16.35,14.59,18.02,19.4,24.13,28.24,31.45,30.61,34.27,37.31,33.88
1/19/25,31.3,29.32,30.89,29.79,33.55,32.46,46.07,56.39,65.99,68.34,56.47,39.03,32.78,32.05,23.68,24.19,33.97,58.9,125.57,101.84,67.96,66.61,65.58,59.6
1/20/25,62.69,64.14,64.75,65.95,70.02,73.27,83.28,120.29,91.83,64.32,57.78,58.49,52.7,43.95,41.01,45.09,58.68,85.6,99.06,93.64,93.09,85.08,96.78,87.29
1/21/25,89.77,80.87,77.4,73.04,88.77,92.29,90.59,183.58,171.75,188.75,114.46,170.49,199.51,74.46,78.89,76.1,128.67,274.02,425.85,246.4,231.09,199.06,99.62,92.59
1/22/25,74.93,72.26,69.84,69.75,68.83,70.97,101.43,230.17,205.76,66.04,43.55,40.59,37.54,34.53,32.55,29.39,28.79,39.82,66.46,56.96,62.07,57.07,41.66,36.24
1/23/25,31.61,33.94,38.12,33.02,35.13,35.43,52.01,22.5,37.38,15.71,34.05,26.97,22.19,24.75,24.06,23.01,19.77,22.4,20.51,44.68,36.14,40.79,34.55,31.97
1/24/25,28.47,37.37,18.08,27.6,31,38.27,22.8,140.21,59.15,-57.75,28.57,29.3,26.03,23.76,23.51,22.56,23.77,26.73,29.94,34.3,35.76,34.67,33.74,31.27
1/25/25,38.58,35.32,33.71,32.94,34.49,42.42,44.52,48.22,38.81,35.52,33.74,32.39,31.26,29.84,26.03,21.06,22.44,30.04,35.1,30.88,29.71,31.86,29.45,26.83
1/26/25,27.22,27.43,29.2,29.42,29.17,29.46,32.86,35.62,50.68,33.57,30.29,29.89,26.81,26.58,25.56,24.77,28.17,71.25,41.09,35.12,45.24,33.13,26.92,23.24
1/27/25,24.7,23.36,24.5,24.48,25.21,25.05,26.45,35.68,41.85,20.83,24.68,23.58,22.83,18.99,20.44,18.31,19.93,26.63,31.39,35.54,90.59,30.54,28.16,27.13
1/28/25,26.49,27.11,27.15,27.29,28.01,28.57,34.51,52.7,75.54,26.72,28.04,27.19,24.08,21.5,19.64,16.93,25.25,27.71,34.26,32.68,29.46,28.23,28.18,26.16
1/29/25,25.01,24.38,23.16,22.49,22.92,24.6,27.92,34.21,27.18,23.77,23.88,23.21,23.09,22.84,22.42,22.29,27.8,59.01,38.48,117.57,33.02,44.35,29.5,27.06
1/30/25,27.93,26.79,25.33,21.21,24.71,24.77,27.37,37.03,106.19,23.54,25.26,27.98,29.64,30.67,44.63,26.75,40.93,33.32,41.45,34.28,34.39,32.21,32.57,26.57
1/31/25,21.48,21.19,21.49,20.6,19.07,18.15,21.82,24.11,23.88,23.42,22.67,22.33,20.31,19.41,17.54,19.08,18.91,23.64,25.1,25.26,25.89,25.37,24.38,22.44
2/1/25,23.9,23.11,23.05,20.97,20.16,21.8,22.9,28.05,25.39,22.53,22.21,22.79,22.32,21.77,21.15,20.39,21.9,27.6,29.01,33.38,37.67,29.74,27.02,26.73
2/2/25,99.41,28.22,28.2,27.26,28.95,29.29,30.15,36.77,164.4,24.42,20.69,19.47,17.66,17.8,17.77,17.44,17.14,23.95,28.67,28.94,38.02,36.73,23.79,21.8
2/3/25,21.25,20.35,21.02,20.88,23.51,23.92,25.97,28.49,27.69,23.7,23.48,21.26,20.47,20.68,20.01,20.93,21.44,25.78,24.1,25.68,26.24,27.98,22.26,21.05
2/4/25,19.57,18.99,19.66,19.23,19.37,20.54,22.34,23.87,24.33,24.29,23.73,23.62,23.03,23.12,23.11,22.52,22.81,24.66,30.24,29.67,31.3,31.15,29.93,28.36
2/5/25,24.5,23.01,22.67,22.3,22.48,23.82,26.71,29.19,27.86,68.9,29.68,28.1,27.82,33.61,33.55,33.89,31.16,38.58,56.85,45.85,55.86,39.78,37.6,28.18
2/6/25,30.04,23.23,22.65,22.73,23.75,23.82,27.65,30.62,33.96,29.3,28.9,27.93,28.15,27.39,25.69,24.21,26.59,30.9,46.65,28.01,30.2,31.69,25.82,23.66
2/7/25,21.61,21.92,22.42,24.91,23.13,23.53,26.27,31.82,26.88,30.19,29.96,30.89,28.42,27.22,27.06,24.17,24.4,28.46,31.56,31.21,27.51,24.64,24.93,24.1
